ID,Categoria,Nombre,Precio,Stock,Tiene_Foto_Oficial,Estado_Imagen,URL_Imagen
"9e43e82b-e2fd-487b-bb30-92faf1754fd5","Aguardiente","Néctar verde Botella (750ml)",47500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/nectar_verde_botella_750ml.webp"
"182cc0b8-7e84-4c30-acb5-4656e6bb71ee","Aguardiente","Néctar verde Cuarto (250ml)",15500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/nectar_verde_cuarto_250ml.webp"
"f8f77466-5bf2-425f-b170-4a95d510f9f5","Aguardiente","Néctar verde Garrafa (2000ml)",117500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/nectar_verde_garrafa_2000ml.webp"
"54fef250-0545-4c5b-87b6-b2abd3875748","Aguardiente","Néctar verde Litro (1000ml)",59500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/nectar_verde_litro_1000ml.webp"
"ee92c463-802e-4248-9bf3-901ec104c813","Aguardiente","Néctar verde Litro y medio (1500ml)",82000,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/nectar_verde_litro_y_medio_1500ml.webp"
"baf503e0-0abe-46fb-9ef2-3e4461b4c857","Aguardiente","Néctar verde Media (375ml)",25500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/nectar_verde_media_375ml.webp"
"e93150d4-355e-4138-b9ba-5ac3a98d2423","Aguardiente","Néctar verde Medio litro (500ml)",31500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/nectar_verde_medio_litro_500ml.webp"
"1a254bb7-7295-42df-a7e6-e1bdf2cfb0bd","Whisky","Old Parr 12 Años (750ml)",149000,10,NO,"GENERICA_TEMPORAL","https://images.unsplash.com/photo-1527281405159-35d5b9a1650c?q=80&w=800&auto=format&fit=crop"
"232f6e42-4296-403b-93fa-1653f91fc598","Snacks","Papas Pringles Original (124g)",14500,25,NO,"GENERICA_TEMPORAL","https://images.unsplash.com/photo-1621996346565-e3d5d628169b?q=80&w=800&auto=format&fit=crop"
"abcd845f-332c-47c9-a890-2341f8e95ffd","Aguardiente","Rosado del Tolima Botella (750ml)",89500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/rosado_del_tolima_botella_750ml.webp"
"0efb3f56-d5ff-4367-8470-e3c6c6b4dc94","Cervezas","Stella Artois Botella (330ml)",8000,36,NO,"GENERICA_TEMPORAL","https://images.unsplash.com/photo-1608270586620-248524c67de9?q=80&w=800&auto=format&fit=crop"
